Disease,Category,Symptoms,Vaccine_Available,Vaccine_Name,Reason
Arthritis,Disorder,joint pain; stiffness; muscle pain; back pain; weakness,No,,Autoimmune and degenerative joint condition
Attention Deficit Hyperactivity Disorder,Disorder,weight loss; chills; malaise; night sweats; fever; fatigue,No,,Vaccine development not prioritized
Parainfluenza Virus,Virus,malaise; headache; dizziness; memory loss; fever,No,,Vaccine development not prioritized
Enterococcus faecalis,Bacteria,muscle pain; weight loss; stiffness; chills,No,,Common hospital-acquired infection
Chronic Obstructive Pulmonary Disease,Disorder,fever; weight loss; malaise; night sweats; fatigue; chills,No,,Vaccine development not prioritized
Hepatitis A,Disease,weight loss; fever; chills; fatigue; night sweats,Yes,Hepatitis A Vaccine,
Escherichia coli,Bacteria,back pain; fever; swelling,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Tick-Borne Encephalitis Virus,Virus,tingling; dizziness; night sweats; chills; numbness; malaise,No,,Vaccine development not prioritized
Tetanus,Disease,fever; malaise; night sweats; weight loss,Yes,Tdap Vaccine,
Haemophilus influenzae,Bacteria,fatigue; back pain; weakness,Yes,Hib Vaccine,
Attention Deficit Hyperactivity Disorder,Disorder,chills; weight loss; malaise,No,,Vaccine development not prioritized
COVID-19,Disease,fatigue; chills; fever; weight loss,Yes,COVID-19 Vaccine,
Diphtheria,Disease,malaise; fatigue; chills; fever,Yes,Tdap Vaccine,
Rabies,Disease,weight loss; night sweats; chills,Yes,Rabies Vaccine,
Diphtheria,Disease,chills; malaise; fever; fatigue; night sweats; weight loss,Yes,Tdap Vaccine,
Obsessive Compulsive Disorder,Disorder,night sweats; chills; fatigue,No,,Vaccine development not prioritized
Mycobacterium tuberculosis,Bacteria,wheezing; chest pain; fatigue; shortness of breath; runny nose,Yes,BCG Vaccine,
Varicella-Zoster Virus,Virus,headache; malaise; memory loss; seizures; numbness; fever,No,,Vaccine development not prioritized
Autism Spectrum Disorder,Disorder,malaise; night sweats; fever; weight loss,No,,Vaccine development not prioritized
Varicella-Zoster Virus,Virus,tingling; fever; dizziness,No,,Vaccine development not prioritized
Anxiety,Disorder,chills; fatigue; night sweats; fever; weight loss,No,,Mental health disorder
Mycobacterium leprae,Bacteria,muscle pain; night sweats; weakness; chills,No,,Limited global incidence
Arthritis,Disorder,muscle pain; joint pain; back pain; weakness; stiffness; swelling,No,,Autoimmune and degenerative joint condition
COVID-19,Disease,malaise; night sweats; fever; fatigue; chills; weight loss,Yes,COVID-19 Vaccine,
Neisseria meningitidis,Bacteria,fever; weight loss; night sweats; fatigue; swelling; stiffness,Yes,Meningococcal Vaccine,
Monkeypox,Disease,malaise; fatigue; fever,No,,Vaccine development not prioritized
Herpes Simplex Virus,Virus,hair loss; itching; redness; dry skin; rash,No,,Vaccine development not prioritized
Botulism,Disease,fatigue; night sweats; chills; fever; weight loss,No,,Vaccine development not prioritized
Japanese Encephalitis Virus,Virus,weight loss; fever; chills; confusion,No,,Vaccine development not prioritized
Legionella pneumophila,Bacteria,malaise; chills; fatigue; weight loss,No,,Environmental bacterium with limited human cases
Mycobacterium leprae,Bacteria,malaise; swelling; fever; night sweats,No,,Limited global incidence
Multiple Sclerosis,Disorder,weight loss; night sweats; fever; fatigue; malaise,No,,Autoimmune neurological disease
Chronic Obstructive Pulmonary Disease,Disorder,malaise; weight loss; fatigue; chills; fever,No,,Vaccine development not prioritized
Multiple Sclerosis,Disorder,chills; fever; weight loss; malaise; fatigue; night sweats,No,,Autoimmune neurological disease
COVID-19,Disease,chills; night sweats; malaise; fatigue,Yes,COVID-19 Vaccine,
Malaria,Disease,fatigue; weight loss; malaise; fever; night sweats,No,,Complex parasite lifecycle and multiple strains
Encephalitis,Disease,night sweats; fatigue; chills,No,,Vaccine development not prioritized
Adenovirus,Virus,memory loss; fever; malaise,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Zika Virus,Disease,chills; malaise; fever; fatigue; night sweats; weight loss,No,,Ongoing research with no approved vaccine yet due to multiple strains
Respiratory Syncytial Virus,Virus,cough; sore throat; fatigue; shortness of breath; fever,No,,Previous vaccine trials showed safety concerns
Smallpox,Disease,chills; fatigue; malaise; fever; night sweats; weight loss,No,,Vaccine development not prioritized
Tularemia,Disease,night sweats; chills; malaise; weight loss,No,,Vaccine development not prioritized
Monkeypox,Disease,chills; night sweats; fever,No,,Vaccine development not prioritized
Coronavirus,Virus,tingling; headache; numbness; malaise,No,,Vaccine development not prioritized
Chickenpox,Disease,fatigue; malaise; fever; night sweats; weight loss,Yes,Varicella Vaccine,
Botulism,Disease,fever; malaise; weight loss; fatigue,No,,Vaccine development not prioritized
Streptococcus pneumoniae,Bacteria,shortness of breath; sore throat; wheezing,Yes,Pneumococcal Vaccine,
Legionella pneumophila,Bacteria,weakness; stiffness; joint pain; chills; malaise; back pain,No,,Environmental bacterium with limited human cases
Yersinia pestis,Bacteria,stiffness; night sweats; weakness; swelling; weight loss; fever,No,,Rare disease with limited research
Yersinia pestis,Bacteria,stiffness; muscle pain; swelling; weight loss; joint pain; weakness,No,,Rare disease with limited research
Obsessive Compulsive Disorder,Disorder,weight loss; malaise; fatigue; chills; night sweats,No,,Vaccine development not prioritized
Cytomegalovirus,Virus,dizziness; confusion; seizures,No,,Common virus with complex immune interactions
Malaria,Disease,fatigue; weight loss; malaise,No,,Complex parasite lifecycle and multiple strains
Haemophilus influenzae,Bacteria,malaise; fever; weight loss; chills; stiffness,Yes,Hib Vaccine,
Marburg,Disease,chills; weight loss; fatigue; malaise; night sweats; fever,No,,Vaccine development not prioritized
Typhoid,Disease,diarrhea; nausea; loss of appetite; vomiting; abdominal pain; constipation,Yes,Typhoid Vaccine,
Smallpox,Disease,malaise; chills; night sweats; weight loss; fatigue; fever,No,,Vaccine development not prioritized
Bronchitis,Disease,weight loss; chills; fatigue; malaise; night sweats,No,,Vaccine development not prioritized
Haemophilus influenzae,Bacteria,weight loss; joint pain; swelling; stiffness; muscle pain,Yes,Hib Vaccine,
Respiratory Syncytial Virus,Virus,cough; chest pain; shortness of breath; runny nose; fever; wheezing,No,,Previous vaccine trials showed safety concerns
Influenza Viruses,Virus,fever; fatigue; malaise; confusion,No,,Vaccine development not prioritized
Migraine,Disorder,fever; weight loss; fatigue; chills; malaise,No,,Neurological headache disorder
Alzheimer's Disease,Disorder,weight loss; chills; malaise,No,,Neurodegenerative disease with complex causes
Typhoid,Disease,vomiting; constipation; diarrhea; loss of appetite,Yes,Typhoid Vaccine,
Staphylococcus aureus,Bacteria,joint pain; back pain; chills,No,,Bacteria has multiple strains and toxin variants
Tuberculosis,Disease,malaise; weight loss; fatigue,Yes,BCG Vaccine,
Autism Spectrum Disorder,Disorder,malaise; weight loss; fatigue; night sweats; chills,No,,Vaccine development not prioritized
Herpes Simplex Virus,Virus,itching; hair loss; rash; dry skin; redness; blisters,No,,Vaccine development not prioritized
Rubella,Disease,malaise; fatigue; night sweats; fever; chills,Yes,MMR Vaccine,
Legionella pneumophila,Bacteria,muscle pain; joint pain; chills; night sweats,No,,Environmental bacterium with limited human cases
Tetanus,Disease,weight loss; fatigue; malaise,Yes,Tdap Vaccine,
Pseudomonas aeruginosa,Bacteria,back pain; fatigue; stiffness; joint pain; fever,No,,Opportunistic pathogen in immunocompromised patients
Migraine,Disorder,malaise; chills; night sweats; weight loss; fever; fatigue,No,,Neurological headache disorder
Norovirus,Virus,fatigue; chills; weight loss; dizziness,No,,Rapidly evolving virus with many strains
Chronic Obstructive Pulmonary Disease,Disorder,chills; fever; night sweats; malaise,No,,Vaccine development not prioritized
Osteoporosis,Disorder,fatigue; chills; night sweats,No,,Bone density disorder from aging and lifestyle
Mumps,Disease,malaise; chills; fever; night sweats; fatigue; weight loss,Yes,MMR Vaccine,
Epstein-Barr Virus,Virus,fatigue; fatigue; confusion; tingling; chills,No,,"Causes lifelong infection, vaccine development challenging"
Human Papillomavirus,Virus,hair loss; blisters; redness; itching,Yes,HPV Vaccine,
Rabies,Disease,chills; night sweats; malaise; weight loss,Yes,Rabies Vaccine,
Mumps,Disease,weight loss; fatigue; malaise; chills; fever; night sweats,Yes,MMR Vaccine,
Attention Deficit Hyperactivity Disorder,Disorder,fever; night sweats; weight loss; chills,No,,Vaccine development not prioritized
Coronary Artery Disease,Disorder,weight loss; fever; fatigue; night sweats,No,,Cardiovascular disease from multiple risk factors
Migraine,Disorder,chills; fever; malaise; fatigue; weight loss; night sweats,No,,Neurological headache disorder
Chronic Obstructive Pulmonary Disease,Disorder,weight loss; fatigue; fever,No,,Vaccine development not prioritized
Schizophrenia,Disorder,malaise; weight loss; fatigue,No,,Severe mental health disorder
Smallpox,Disease,fever; chills; weight loss; fatigue; malaise; night sweats,No,,Vaccine development not prioritized
Mycobacterium leprae,Bacteria,chills; malaise; swelling; weight loss; fatigue,No,,Limited global incidence
Malaria,Disease,night sweats; fatigue; fever,No,,Complex parasite lifecycle and multiple strains
Epstein-Barr Virus,Virus,numbness; dizziness; fatigue,No,,"Causes lifelong infection, vaccine development challenging"
Eating Disorders,Disorder,fever; night sweats; fatigue,No,,Mental health and behavioral disorders
Chronic Obstructive Pulmonary Disease,Disorder,chills; fatigue; malaise; weight loss; night sweats; fever,No,,Vaccine development not prioritized
Ebola,Disease,chills; night sweats; weight loss; malaise,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
COVID-19,Disease,fever; malaise; weight loss; night sweats; chills,Yes,COVID-19 Vaccine,
Polio,Disease,chills; weight loss; fever; night sweats; fatigue; malaise,Yes,Polio Vaccine,
Diphtheria,Disease,weight loss; fever; fatigue,Yes,Tdap Vaccine,
Clostridium difficile,Bacteria,muscle pain; weakness; joint pain; swelling; night sweats; fever,No,,Bacterial toxin-mediated disease
Rotavirus,Virus,fatigue; night sweats; seizures; tingling; weight loss,Yes,Rotavirus Vaccine,
Chickenpox,Disease,chills; fever; weight loss; malaise; night sweats; fatigue,Yes,Varicella Vaccine,
Malaria,Disease,night sweats; fatigue; fever; weight loss; malaise; chills,No,,Complex parasite lifecycle and multiple strains
Measles,Disease,night sweats; chills; fatigue; fever,Yes,MMR Vaccine,
Bipolar Disorder,Disorder,chills; malaise; fatigue; fever; night sweats; weight loss,No,,Mental health condition
Pneumonia,Disease,chest pain; fatigue; fever; wheezing; shortness of breath,Yes,Pneumococcal Vaccine,
West Nile Virus,Virus,fatigue; dizziness; headache; seizures; chills,No,,Limited human cases and complex transmission cycle
Avian Flu,Disease,shortness of breath; fatigue; sore throat; chest pain,No,,Rapid mutation and limited human transmission
Tick-Borne Encephalitis Virus,Virus,fatigue; fatigue; fever; seizures,No,,Vaccine development not prioritized
Bipolar Disorder,Disorder,malaise; night sweats; chills; fatigue; weight loss; fever,No,,Mental health condition
Parainfluenza Virus,Virus,night sweats; weight loss; fever; numbness; malaise,No,,Vaccine development not prioritized
Obsessive Compulsive Disorder,Disorder,night sweats; chills; fatigue; fever,No,,Vaccine development not prioritized
Cholera,Disease,diarrhea; abdominal pain; loss of appetite; nausea,Yes,Cholera Vaccine,
Polio,Disease,weight loss; fever; malaise; chills; fatigue,Yes,Polio Vaccine,
Smallpox,Disease,fever; fatigue; chills,No,,Vaccine development not prioritized
Eating Disorders,Disorder,weight loss; chills; malaise,No,,Mental health and behavioral disorders
Stroke,Disorder,fatigue; night sweats; fever; chills; malaise,No,,"Caused by various risk factors, not a single pathogen"
Chronic Obstructive Pulmonary Disease,Disorder,chills; malaise; weight loss,No,,Vaccine development not prioritized
Bipolar Disorder,Disorder,night sweats; malaise; fatigue; fever,No,,Mental health condition
Haemophilus influenzae,Bacteria,joint pain; chills; stiffness,Yes,Hib Vaccine,
Chronic Obstructive Pulmonary Disease,Disorder,malaise; chills; night sweats,No,,Vaccine development not prioritized
Enterococcus faecalis,Bacteria,fatigue; chills; malaise; back pain; swelling,No,,Common hospital-acquired infection
Clostridium difficile,Bacteria,malaise; weakness; joint pain; fever; night sweats; back pain,No,,Bacterial toxin-mediated disease
Pseudomonas aeruginosa,Bacteria,weakness; stiffness; chills,No,,Opportunistic pathogen in immunocompromised patients
Migraine,Disorder,fever; chills; malaise; weight loss; fatigue; night sweats,No,,Neurological headache disorder
Treponema pallidum,Bacteria,chills; stiffness; weight loss; night sweats; fever; joint pain,No,,Complex immune evasion mechanisms
Pertussis,Disease,weight loss; chills; fatigue; malaise,Yes,Tdap Vaccine,
Francisella tularensis,Bacteria,night sweats; fever; chills,No,,Rare bacterial infection
Rotavirus,Virus,chills; night sweats; numbness; malaise,Yes,Rotavirus Vaccine,
Asthma,Disorder,weight loss; fever; night sweats; chills; fatigue,No,,"Allergic inflammatory condition, not infectious"
Streptococcus pneumoniae,Bacteria,runny nose; cough; sore throat,Yes,Pneumococcal Vaccine,
MERS,Disease,malaise; fatigue; night sweats; weight loss; chills; fever,No,,Limited outbreaks and research funding constraints
Japanese Encephalitis Virus,Virus,dizziness; night sweats; confusion; memory loss; fatigue; numbness,No,,Vaccine development not prioritized
Enterococcus faecalis,Bacteria,joint pain; stiffness; fatigue; night sweats; swelling; back pain,No,,Common hospital-acquired infection
Rhinovirus,Virus,numbness; fatigue; tingling; seizures,No,,Over 100 serotypes make vaccine impractical
Neisseria meningitidis,Bacteria,stiffness; weight loss; night sweats; swelling; malaise; chills,Yes,Meningococcal Vaccine,
